"id","code","name","rent_law_article","rent_ocde_code","active"
l10n_pe_table_31_0017,"16","Las obtenidas por la redención o rescate de  acciones de inversión, certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando las empresas, sociedades, Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú. Dentro de Bolsa","Art. 9° h)","13","false"
l10n_pe_table_31_0018,"17","Enajenación de los ADR’s  y GDR’s  que tengan como subyacente acciones emitidas por empresas domiciliadas en el país. ","Art. 9° h)","13","false"
l10n_pe_table_31_0019,"18","Las obtenidas por servicios digitales prestados a través del Internet o de cualquier adaptación o aplicación de los protocolos, plataformas o de la tecnología utilizada por Internet o cualquier otra red a través de la que se presten servicios equivalentes, cuando el servicio se utilice económicamente, use o consuma en el país","Art. 9° i)","21","false"
l10n_pe_table_31_0020,"19","La obtenida por asistencia técnica, cuando ésta se utilice económicamente en el país","Art. 9° j)","7","false"
l10n_pe_table_31_0021,"20","Los intereses de obligaciones, cuando la entidad emisora ha sido constituida en el país","10 a)","11","false"
l10n_pe_table_31_0022,"21","Remuneracion pagada por Domiciliados; Sujeto miembro de un consejo directivo o adm.; Actuación en el Extranjero","10 b)","16","false"
l10n_pe_table_31_0023,"22","Honorarios o remuneraciones del Sector Público Nacional por trabajos realizados en el exterior.","10 c)","19","false"
l10n_pe_table_31_0024,"23","Resultados Proveniente de la contratación de IFD","10 d)","7","false"
l10n_pe_table_31_0025,"24","Resultados  de IFD con cobertura destinados a la generación de RFP","10 d)","7","false"
l10n_pe_table_31_0026,"25","Proveniente de la contratación de IFD sin cobertura destinados a la generación de RFP","10 d)","7","false"
l10n_pe_table_31_0027,"26","IFD donde Activo subyacente sea referido al Tipo de Cambio Moneda extranjera. 180 dias. (La Dom es la prestadora del IFD, la No Dom es la que obtiene el resultado) ","10 d)","7","false"
l10n_pe_table_31_0028,"27","Las obtenidas por la enajenación indirecta de acciones y participaciones representativas del capital de personas jurídicas domiciliadas en el país, cuando la operación cumple las condiciones para ser gravadas en el Perú","Art. 10° e)","13","false"
l10n_pe_table_31_0029,"28","Se incluye dentro de la enajenación de de empresas no domiciliadas en el país la enajenación de ADR´s (American Depositary Receipts) que tengan como subyacente a tales acciones.","Art. 10° e)","13","false"
l10n_pe_table_31_0030,"29","Sujeto es el No Dom que distribuye  por la reducción de capital dentro de los 12 meses anteriores cuando hubiera aumentado su capital como consecuencia de nuevos aportes, de capitalización de créditos o de una reorganización","Art. 10 f)","10","false"
l10n_pe_table_31_0031,"30","Actividades de Seguros 7% sobre las primas.Comisiones por Reaseguros sobre personas y/o bienes radicados en el país","Art. 12 y 48°a)","07 - 21","false"
l10n_pe_table_31_0032,"31","Alquiler de Naves, 8% sobre Ingresos Brutos que perciban por dicha actividad","Art. 12 y 48°b) ","8","false"
l10n_pe_table_31_0033,"32","Alquiler de Aeronaves, 60% sobre Ingresos Brutos que perciban por dicha actividad","Art. 12 y 48° c)","8","false"
l10n_pe_table_31_0034,"33","1% por el ingresos brutos por el transporte aéreo.","Art. 12 y 48° d)","8","false"
l10n_pe_table_31_0035,"34","Excepto Otros transportes no aereos o maritimos que van por los ingresos de la parte prestada en el país","Art. 12 y 48° d)","8","false"
l10n_pe_table_31_0036,"35","2% por el ingresos brutos por fletamiento o transporte marítimo. ","Art. 12 y 48° d)","8","false"
l10n_pe_table_31_0037,"36","Empresas por reciprocidad en lineas extranjeras con sedes en esos países","Art. 12 y 48° d)","24","false"
l10n_pe_table_31_0038,"37","Servicio portadores, teleservcios o finales, difusión y de valor añadido. Con excepcion de los Servicios Digitales según 4-A","Art 12  y 48°e)","07 - 21","false"
l10n_pe_table_31_0039,"38","10%. sobre las remuneraciones brutas que obtengan por el suministro de noticias y, en general material informativo o gráfico, a personas o entidades domiciliadas o que utilicen dicho material en el país.","Art 12  y 48° f)","07 - 21","false"
l10n_pe_table_31_0040,"39","para su utilización por personas naturales o jurídicas domiciliadas: 20% sobre los ingresos brutos que perciban por el uso de películas cinematográficas o para televisión, 'video tape', radionovelas, discos fonográficos, historietas gráficas y cualquier otro medio similar de proyección, reproducción, transmisión o difusión de imágenes o sonidos.","Art 12  y 48° g)","07 - 21","false"
l10n_pe_table_31_0041,"40","en el país o desde el país al exterior y no presten el servicio de transporte 15% de los ingresos brutos que obtengan por dicho suministro.","Art 12  y 48° h)","8","false"
l10n_pe_table_31_0042,"41","80% de los ingresos brutos que obtengan por el exceso de estadía de contenedores.","Art 12  y 48° i)","07 - 21","false"
l10n_pe_table_31_0043,"42","20% de los ingresos brutos que obtengan los contribuyentes no domiciliados por la cesión de derechos para la retransmisión por televisión en el país de eventos en vivo realizados en el extranjero. ","Art 12  y 48° j)","07 - 21","false"
l10n_pe_table_31_0044,"43","Extranjeros que ingresan al país y cuentas con las siguientes calidades especificas a prestar servicios","Art. 13°","15","false"
